equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15541,247,4/22/2024 9:33,0422-0247-00403,0.001
e15541,247,4/22/2024 9:33,0422-0247-00420,0.029
e15541,247,4/22/2024 9:33,0422-0247-00415,0.006
e15541,247,4/22/2024 9:34,0422-0247-00418,0.008
e15541,247,4/22/2024 9:34,0422-0247-00426,0.02
e15541,247,4/22/2024 9:34,0422-0247-00428,0.002
e15541,247,4/22/2024 9:34,0422-0247-00424,0.006
e15541,247,4/22/2024 9:34,0422-0247-00443,0.007
e15541,247,4/22/2024 9:35,0422-0247-00432,0.002
e15541,247,4/22/2024 9:35,0422-0247-00458,0.005
e15541,247,4/22/2024 9:35,0422-0247-00470,0.009
e15541,247,4/22/2024 9:35,0422-0247-00468,0.009
e15541,247,4/22/2024 9:35,0422-0247-00450,0.003
e15541,247,4/22/2024 9:36,0422-0247-00469,0.005
e15541,247,4/22/2024 9:36,0422-0247-00480,0
e15541,247,4/22/2024 9:36,0422-0247-00463,0.004
e15541,247,4/22/2024 9:36,0422-0247-00488,0.013
e15541,247,4/22/2024 9:37,0422-0247-00479,0.008
e15541,247,4/22/2024 9:37,0422-0247-00482,0.009
e15541,247,4/22/2024 9:37,0422-0247-00496,0.015
e15541,247,4/22/2024 9:37,0422-0247-00494,0.005
e15541,247,4/22/2024 9:37,0422-0247-00492,0.026
e15541,247,4/22/2024 9:38,0422-0247-00489,0.01
e15541,247,4/22/2024 9:38,0422-0247-00493,0.024
e15541,247,4/22/2024 9:38,0422-0247-00510,0.005
e15541,247,4/22/2024 9:38,0422-0247-00502,0.013
e15541,247,4/22/2024 9:38,0422-0247-00512,0.018
e15541,247,4/22/2024 9:38,0422-0247-00508,0.004
e15541,247,4/22/2024 9:39,0422-0247-00520,0.007
e15541,247,4/22/2024 9:39,0422-0247-00515,0.016
e15541,247,4/22/2024 9:39,0422-0247-00527,0.002
e15541,247,4/22/2024 9:40,0422-0247-00531,0.045
e15541,247,4/22/2024 9:40,0422-0247-00539,0.017
e15541,247,4/22/2024 9:40,0422-0247-00540,0.01
e15541,247,4/22/2024 9:40,0422-0247-00534,0.007
